Number 1 to 100000
4314 and 20132 are FRIENDLY
4320 and 4680 are FRIENDLY
4320 and 26208 are FRIENDLY
4332 and 84474 are FRIENDLY
4350 and 20300 are FRIENDLY
4360 and 24416 are FRIENDLY
4362 and 20356 are FRIENDLY
4380 and 85410 are FRIENDLY
4386 and 20468 are FRIENDLY
4396 and 77872 are FRIENDLY
4398 and 20524 are FRIENDLY
4404 and 85878 are FRIENDLY
4422 and 20636 are FRIENDLY
4434 and 20692 are FRIENDLY
4440 and 24864 are FRIENDLY
4452 and 14310 are FRIENDLY
4452 and 78864 are FRIENDLY
4452 and 86814 are FRIENDLY
4458 and 20804 are FRIENDLY
4464 and 73152 are FRIENDLY
4470 and 20860 are FRIENDLY
4476 and 87282 are FRIENDLY
4506 and 21028 are FRIENDLY
4520 and 25312 are FRIENDLY
4530 and 21140 are FRIENDLY
4542 and 21196 are FRIENDLY
4548 and 88686 are FRIENDLY
4560 and 11400 are FRIENDLY
4564 and 80848 are FRIENDLY
4566 and 21308 are FRIENDLY
4590 and 25296 are FRIENDLY
4590 and 27846 are FRIENDLY
4596 and 89622 are FRIENDLY
4602 and 21476 are FRIENDLY
4614 and 21532 are FRIENDLY
4620 and 81840 are FRIENDLY
4620 and 90090 are FRIENDLY
4638 and 21644 are FRIENDLY
4650 and 21700 are FRIENDLY
4668 and 91026 are FRIENDLY
4674 and 21812 are FRIENDLY
4676 and 82832 are FRIENDLY
4680 and 26208 are FRIENDLY
4686 and 21868 are FRIENDLY
4692 and 91494 are FRIENDLY
4710 and 21980 are FRIENDLY
4720 and 11800 are FRIENDLY
4722 and 22036 are FRIENDLY
4732 and 83824 are FRIENDLY
4740 and 92430 are FRIENDLY
4758 and 22204 are FRIENDLY
4764 and 92898 are FRIENDLY
4782 and 22316 are FRIENDLY
4788 and 84816 are FRIENDLY
4794 and 22372 are FRIENDLY
4812 and 93834 are FRIENDLY
4818 and 22484 are FRIENDLY
4840 and 27104 are FRIENDLY
4844 and 85808 are FRIENDLY
4854 and 22652 are FRIENDLY
4866 and 22708 are FRIENDLY
4880 and 12200 are FRIENDLY
4884 and 95238 are FRIENDLY
4890 and 22820 are FRIENDLY
4902 and 22876 are FRIENDLY
4908 and 95706 are FRIENDLY
4920 and 27552 are FRIENDLY
4926 and 22988 are FRIENDLY
4938 and 23044 are FRIENDLY
4956 and 15930 are FRIENDLY
4956 and 87792 are FRIENDLY
4956 and 96642 are FRIENDLY
4962 and 23156 are FRIENDLY
4974 and 23212 are FRIENDLY
4980 and 97110 are FRIENDLY
4995 and 30303 are FRIENDLY
5010 and 23380 are FRIENDLY
5012 and 88784 are FRIENDLY
5028 and 98046 are FRIENDLY
5034 and 23492 are FRIENDLY
5040 and 12600 are FRIENDLY
5046 and 23548 are FRIENDLY
5052 and 98514 are FRIENDLY
5068 and 89776 are FRIENDLY
5070 and 23660 are FRIENDLY
5080 and 28448 are FRIENDLY
5100 and 99450 are FRIENDLY
5106 and 23828 are FRIENDLY
5118 and 23884 are FRIENDLY
5124 and 16470 are FRIENDLY
5124 and 90768 are FRIENDLY
5124 and 99918 are FRIENDLY
5130 and 28272 are FRIENDLY
5130 and 31122 are FRIENDLY
5142 and 23996 are FRIENDLY
5154 and 24052 are FRIENDLY
5160 and 28896 are FRIENDLY
5178 and 24164 are FRIENDLY
5180 and 91760 are FRIENDLY
5190 and 24220 are FRIENDLY
5214 and 24332 are FRIENDLY
5226 and 24388 are FRIENDLY
5236 and 92752 are FRIENDLY
5240 and 29344 are FRIENDLY
5262 and 24556 are FRIENDLY
5286 and 24668 are FRIENDLY
5298 and 24724 are FRIENDLY
5322 and 24836 are FRIENDLY
5348 and 94736 are FRIENDLY
5358 and 25004 are FRIENDLY
5360 and 13400 are FRIENDLY
5370 and 25060 are FRIENDLY
5394 and 25172 are FRIENDLY
5400 and 13104 are FRIENDLY
5404 and 95728 are FRIENDLY
5406 and 25228 are FRIENDLY
5430 and 25340 are FRIENDLY
5442 and 25396 are FRIENDLY
5456 and 89408 are FRIENDLY
5460 and 96720 are FRIENDLY
5466 and 25508 are FRIENDLY
5478 and 25564 are FRIENDLY
5480 and 30688 are FRIENDLY
5514 and 25732 are FRIENDLY
5516 and 97712 are FRIENDLY
5520 and 13800 are FRIENDLY
5535 and 33579 are FRIENDLY
5538 and 25844 are FRIENDLY
5550 and 25900 are FRIENDLY
5560 and 31136 are FRIENDLY
5572 and 98704 are FRIENDLY
5574 and 26012 are FRIENDLY
5586 and 6860 are FRIENDLY
5610 and 26180 are FRIENDLY
5622 and 26236 are FRIENDLY
5628 and 18090 are FRIENDLY
5628 and 99696 are FRIENDLY
5640 and 31584 are FRIENDLY
5646 and 26348 are FRIENDLY
5658 and 26404 are FRIENDLY
5680 and 14200 are FRIENDLY
5682 and 26516 are FRIENDLY
5694 and 26572 are FRIENDLY
5718 and 26684 are FRIENDLY
5720 and 32032 are FRIENDLY
5730 and 26740 are FRIENDLY
5766 and 26908 are FRIENDLY
5790 and 27020 are FRIENDLY
5802 and 27076 are FRIENDLY
5805 and 35217 are FRIENDLY
5826 and 27188 are FRIENDLY
5840 and 14600 are FRIENDLY
5862 and 27356 are FRIENDLY
5874 and 27412 are FRIENDLY
5898 and 27524 are FRIENDLY
5910 and 27580 are FRIENDLY
5934 and 27692 are FRIENDLY
5940 and 36036 are FRIENDLY
5946 and 27748 are FRIENDLY
5960 and 33376 are FRIENDLY
5964 and 19170 are FRIENDLY
5970 and 27860 are FRIENDLY
5982 and 27916 are FRIENDLY
6018 and 28084 are FRIENDLY
6040 and 33824 are FRIENDLY
6042 and 28196 are FRIENDLY
6048 and 6552 are FRIENDLY
6054 and 28252 are FRIENDLY
6078 and 28364 are FRIENDLY
6114 and 28532 are FRIENDLY
6120 and 34272 are FRIENDLY
6126 and 28588 are FRIENDLY
6132 and 19710 are FRIENDLY
6150 and 28700 are FRIENDLY
6160 and 15400 are FRIENDLY
6162 and 28756 are FRIENDLY
6186 and 28868 are FRIENDLY
6198 and 28924 are FRIENDLY
6200 and 40640 are FRIENDLY
6210 and 34224 are FRIENDLY
6210 and 37674 are FRIENDLY
6222 and 29036 are FRIENDLY
6234 and 29092 are FRIENDLY
6270 and 29260 are FRIENDLY
6280 and 35168 are FRIENDLY
6294 and 29372 are FRIENDLY
6300 and 54000 are FRIENDLY
6306 and 29428 are FRIENDLY
6320 and 15800 are FRIENDLY
6330 and 29540 are FRIENDLY
6345 and 38493 are FRIENDLY
6360 and 35616 are FRIENDLY
6366 and 29708 are FRIENDLY
6378 and 29764 are FRIENDLY
6402 and 29876 are FRIENDLY
6414 and 29932 are FRIENDLY
6438 and 30044 are FRIENDLY
6450 and 30100 are FRIENDLY
6474 and 30212 are FRIENDLY
6480 and 16200 are FRIENDLY
6486 and 30268 are FRIENDLY
6520 and 36512 are FRIENDLY
6522 and 30436 are FRIENDLY
6546 and 30548 are FRIENDLY
6558 and 30604 are FRIENDLY
6582 and 30716 are FRIENDLY
6618 and 30884 are FRIENDLY
6630 and 30940 are FRIENDLY
6636 and 21330 are FRIENDLY
6640 and 16600 are FRIENDLY
6654 and 31052 are FRIENDLY
6666 and 31108 are FRIENDLY
6680 and 37408 are FRIENDLY
6690 and 31220 are FRIENDLY
6702 and 31276 are FRIENDLY
6726 and 31388 are FRIENDLY
6738 and 31444 are FRIENDLY
6750 and 13950 are FRIENDLY
6760 and 37856 are FRIENDLY
6774 and 31612 are FRIENDLY
6798 and 31724 are FRIENDLY
6810 and 31780 are FRIENDLY
6834 and 31892 are FRIENDLY
6840 and 38304 are FRIENDLY
6870 and 32060 are FRIENDLY
6882 and 32116 are FRIENDLY
6906 and 32228 are FRIENDLY
6918 and 32284 are FRIENDLY
6920 and 38752 are FRIENDLY
6942 and 32396 are FRIENDLY
6954 and 32452 are FRIENDLY
6960 and 17400 are FRIENDLY
6972 and 22410 are FRIENDLY
6978 and 32564 are FRIENDLY
6990 and 32620 are FRIENDLY
7026 and 32788 are FRIENDLY
7050 and 32900 are FRIENDLY
7062 and 32956 are FRIENDLY
7080 and 39648 are FRIENDLY
7086 and 33068 are FRIENDLY
7120 and 17800 are FRIENDLY
7122 and 33236 are FRIENDLY
7134 and 33292 are FRIENDLY
7155 and 43407 are FRIENDLY
7158 and 33404 are FRIENDLY
7160 and 40096 are FRIENDLY
